name,lon,lat
Usaquen,-74.030417,4.710350
Carvajal - Sevillana,-74.148583,4.595617
Tunal,-74.130956,4.576225
Centro de Alto Rendimiento,-74.083967,4.658467
Las Ferias,-74.082483,4.690700
Guaymaral,-74.044183,4.783756
Kennedy,-74.161333,4.625050
Suba,-74.093461,4.761247
Puente Aranda,-74.117483,4.631767
MinAmbiente,-74.066981,4.625486
San Cristobal,-74.083814,4.572553
Movil 7ma,-74.083967,4.642431
Bolivia,-74.125883,4.735867
Fontibon,-74.143819,4.678242
Usme,-74.116000,4.532000
Jazmin,-74.115000,4.608000
Ciudad Bolivar,-74.166000,4.574000
Colina,-74.070000,4.736000
Movil Fontibon,-74.148000,4.689000
